objectid,shape,classcode,cnn,f_node_cnn,f_st,nhood,oneway,st_type,streetname,t_st,zip_code,slw_st,length,extents,status,phase,install_date,agency,type,supervisor_district,data_as_of,data_loaded_at
96,"LINESTRING (-122.44054621 37.771779098, -122.442187879 37.771571038)",5,10181000,26318000,BAKER ST,Haight Ashbury,B,ST,PAGE ST,LYON ST,94117,1,0.09101249,Stanyan to Gough,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,5,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
19,"LINESTRING (-122.447122701 37.770934641, -122.448767914 37.770730884)",5,10185000,26343000,ASHBURY ST,Haight Ashbury,B,ST,PAGE ST,CLAYTON ST,94117,1,0.09115887,Stanyan to Gough,Implemented,1,04/30/2020 05:00:00 PM,MTA,Non-local access,5,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
2567,"LINESTRING (-122.448860456 37.730690189, -122.451140811 37.73068111)",5,6866000,22231000,FOERSTER ST,Sunnyside,B,AVE,HEARST AVE,GENNESSEE ST,94112,1,0.12490988,Ridgewood Avenue to Baden Street,Implemented,4,07/26/2021 05:00:00 PM,MTA,Non-local access,7,08/03/2021 11:50:20 AM,01/18/2024 03:33:32 PM
689,"LINESTRING (-122.429116242 37.745960041, -122.429036672 37.745165388)",5,11536000,21918000,DUNCAN ST,Noe Valley,B,ST,SANCHEZ ST,28TH ST,94131,1,0.0549781,23rd St to 30th St,Implemented,2,05/19/2020 05:00:00 PM,MTA,Non-local access,8,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
684,"LINESTRING (-122.429807778 37.753158475, -122.429731302 37.752362003)",5,11527000,25655000,23RD ST,Noe Valley,B,ST,SANCHEZ ST,ELIZABETH ST,94114,1,0.05509005,23rd St to 30th St,Implemented,2,05/19/2020 05:00:00 PM,MTA,Non-local access,8,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
748,"LINESTRING (-122.409478166 37.731255097, -122.409043771 37.73020274)",5,11966000,20908000,SILVER AVE,Excelsior,B,ST,SOMERSET ST,SILLIMAN ST,94134,1,0.07637902,Silver to Woolsey,Implemented,2,06/01/2020 05:00:00 PM,MTA,Non-local access,9,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
3530,"LINESTRING (-122.416566641 37.755568278, -122.417658993 37.755502498)",5,1189000,24081000,SOUTH VAN NESS AVE,Inner Mission,B,ST,22ND ST,CAPP ST,94110,1,0.05998628,Bryant to Chattanooga,Planned,,,MTA,,9,03/01/2023 02:13:09 PM,01/18/2024 03:33:32 PM
3523,"LINESTRING (-122.409433069 37.755998442, -122.410373354 37.755941773)",5,1182000,23971000,BRYANT ST,Inner Mission,B,ST,22ND ST,FLORIDA ST,94110,1,0.0516355,Bryant to Chattanooga,Planned,,,MTA,,9,03/01/2023 02:13:09 PM,01/18/2024 03:33:32 PM
3543,"LINESTRING (-122.410758543 37.759133959, -122.411579841 37.759084056)",5,1048000,24029000,FLORIDA ST,Inner Mission,B,ST,20TH ST,ALABAMA ST,94110,1,0.04510159,Shotwell to Potrero,Implemented,,02/28/2023 04:00:00 PM,MTA,,9,04/20/2023 11:12:17 AM,01/18/2024 03:33:32 PM
663,"LINESTRING (-122.416548538 37.766871472, -122.416387523 37.765249494)",5,11833000,24338000,15TH ST,The Mission,B,ST,SHOTWELL ST,16TH ST,94103,1,0.11221078,14th St to Cesar Chavez,Implemented,2,05/19/2020 05:00:00 PM,MTA,Non-local access,9,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
1757,"LINESTRING (-122.442551534 37.719620848, -122.443085531 37.719382879)",5,3839000,22059000,SENECA AVE,Outer Mission,B,AVE,CAYUGA AVE,NAVAJO AVE,94112,1,0.03354373,Naglee to Rousseau,Implemented,3,07/31/2023 05:00:00 PM,MTA,Non-local access,11,09/20/2023 03:06:06 PM,01/18/2024 03:33:32 PM
1296,"LINESTRING (-122.502434852 37.773603523, -122.503508219 37.773554325)",5,3509000,27879000,42ND AVE,Outer Richmond,B,ST,CABRILLO ST,43RD AVE,94121,1,0.05885853,23rd Ave to 45th Ave,Implemented,3,10/20/2020 05:00:00 PM,MTA,Non-local access,1,04/28/2023 02:29:50 PM,01/18/2024 03:33:32 PM
1613,"LINESTRING (-122.440805573 37.789872296, -122.442476421 37.789662961)",5,4116000,26824000,DIVISADERO ST,Pacific Heights,B,ST,CLAY ST,BRODERICK ST,94115,1,0.09258193,Arguello to Steiner,Implemented,3,10/05/2020 05:00:00 PM,MTA,Non-local access,2,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
458,"LINESTRING (-122.441865641 37.778299554, -122.44350692 37.778089213)",5,6278000,26359000,BAKER ST,Western Addition,B,AVE,GOLDEN GATE AVE,LYON ST,94115,1,0.09100856,Masonic to Parker,Implemented,2,06/09/2020 05:00:00 PM,MTA,Non-local access,"2, 5",04/20/2023 12:00:31 PM,01/18/2024 03:33:32 PM
1617,"LINESTRING (-122.447148008 37.789071388, -122.448835781 37.788856512)",5,4120000,26850000,PRESIDIO AVE,Presidio Heights,B,ST,CLAY ST,WALNUT ST,94118,1,0.09355781,Arguello to Steiner,Implemented,3,10/05/2020 05:00:00 PM,MTA,Non-local access,2,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
747,"LINESTRING (-122.40655319 37.724194227, -122.406286973 37.723556947)",5,11972000,20885000,WOOLSEY ST,Excelsior,B,ST,SOMERSET ST,KAREN CT,94134,1,0.04630771,Silver to Woolsey,Implemented,2,06/01/2020 05:00:00 PM,MTA,Non-local access,9,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
1737,"LINESTRING (-122.433854274 37.730328184, -122.434218784 37.730227279)",5,3824000,21790000,BADGER ST,Outer Mission,B,AVE,CAYUGA AVE,GORHAM ST,94112,1,0.02114447,Naglee to Rousseau,Implemented,3,07/31/2023 05:00:00 PM,MTA,Non-local access,11,09/20/2023 03:06:06 PM,01/18/2024 03:33:32 PM
750,"LINESTRING (-122.407056461 37.72539995, -122.40655319 37.724194227)",5,11971000,20886000,WAYLAND ST,Excelsior,B,ST,SOMERSET ST,WOOLSEY ST,94134,1,0.08760629,Silver to Woolsey,Implemented,2,06/01/2020 05:00:00 PM,MTA,Non-local access,9,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
650,"LINESTRING (-122.482591529 37.780189472, -122.48245296 37.778262885)",5,1214000,27541000,GEARY BLVD,Outer Richmond,B,AVE,23RD AVE,ANZA ST,94121,1,0.13308875,Lake to Cabrillo,Implemented,2,06/09/2020 05:00:00 PM,MTA,Non-local access,1,10/13/2020 04:05:18 PM,01/18/2024 03:33:32 PM
